reanalysis_air_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_relative_humidity_percent,total_cases,ndvi_n,ndvi_s
297.57285714299996,292.414285714,299.8,73.3657142857,4,0.1131625,0.18805
298.211428571,293.951428571,300.9,77.36857142859999,5,0.1560375,0.15892140000000002
298.781428571,295.434285714,300.5,82.0528571429,4,0.10260835,0.16402145
298.987142857,295.31,301.4,80.3371428571,3,0.18685000000000002,0.2317214
299.518571429,295.821428571,301.9,80.46,6,0.22920000000000001,0.24927
299.63,295.851428571,302.4,79.8914285714,2,0.15766132477011183,0.2180286
299.207142857,295.86571428599996,301.3,82.0,4,0.10285,0.2076714
299.591428571,296.531428571,300.6,83.3757142857,5,0.0725,0.14225
299.578571429,296.37857142900003,302.1,82.7685714286,10,0.12431249999999999,0.1245857
300.154285714,296.651428571,302.3,81.2814285714,6,0.1305561153734481,0.18162499999999998
299.512857143,296.041428571,301.8,81.4671428571,8,0.1376125,0.17243575
299.667142857,296.33428571400003,302.0,82.1442857143,2,0.25170000000000003,0.29093335
299.55857142900004,295.96,301.8,80.7428571429,6,0.16113335,0.22072855
299.862857143,296.172857143,303.0,80.58428571430001,17,0.19290578319472051,0.38052854999999997
300.391428571,296.532857143,302.5,79.65,23,0.1013855910740999,0.15165
299.958571429,297.035714286,302.6,84.1785714286,13,0.13312399984940868,0.1876
300.332857143,296.728571429,302.5,80.9471428571,21,0.17951665,0.1699714
300.11857142900004,297.017142857,302.2,83.3485714286,28,0.291825,0.27424285000000004
300.53,296.11714285700003,303.8,77.1728571429,24,0.2177125,0.25712979999999996
300.674285714,297.19285714299997,302.9,81.55142857140001,20,0.28253335,0.13584164999999998
299.857142857,296.43142857099997,301.7,81.6371428571,40,0.18939165,0.28025715
300.42714285700004,296.028571429,302.4,77.0485714286,27,0.1885,0.22182979999999997
300.775714286,296.664285714,303.3,78.52,42,0.20915,0.2068357
299.857142857,296.928571429,301.8,84.11,33,0.11935,0.1685917
299.195714286,296.544285714,301.5,85.6214285714,43,0.10321504269046053,0.17368335000000001
298.902857143,296.257142857,300.9,85.5028571429,37,0.117975,0.1263786
299.727142857,296.534285714,301.4,82.7871428571,57,0.21784165,0.30695
299.972857143,296.564285714,302.2,81.7157142857,71,0.1671875,0.1824786
300.35,295.687142857,302.3,75.72857142859999,44,0.2577,0.2076357
299.511428571,295.375714286,301.6,78.1514285714,56,0.30127499999999996,0.1285083
298.238571429,294.81142857099996,300.2,81.38571428569999,53,0.17664585,0.1591857
298.542857143,294.782857143,300.8,79.9085714286,52,0.0992,0.25924165
298.202857143,292.004285714,300.6,68.7228571429,47,0.191505,0.20068570000000002
298.297142857,294.55857142900004,300.9,80.0828571429,26,0.28,0.28179285
298.038571429,292.10571428599997,299.8,69.6814285714,27,0.28986665,0.16644445000000002
297.06,291.907142857,299.0,72.9385714286,21,0.14348335,0.15940715
297.674285714,293.282857143,299.3,76.6285714286,21,0.11705448396207811,0.19475835000000002
297.422857143,293.412857143,299.3,78.5,26,0.2134979604616341,0.23892145000000004
297.88428571400004,292.38285714299997,300.3,71.5971428571,34,0.32031665,0.21189285000000002
298.044285714,292.57285714299996,300.1,71.7842857143,37,0.1690625,0.21972855
297.74,293.15,299.7,75.7942857143,17,0.30433335,0.24042145
296.88428571400004,292.972857143,300.2,78.8957142857,19,0.14615,0.2717929
297.414285714,293.63142857099996,300.1,79.74,25,0.1708846349472928,0.11391665000000001
297.505714286,293.407142857,299.8,77.9771428571,18,0.1894,0.16447665
297.777142857,293.531428571,300.3,77.3157142857,21,0.237425,0.2320214
297.43142857099997,293.335714286,300.1,78.1385714286,17,0.14172632206767327,0.22689645
297.407142857,293.254285714,300.4,77.8828571429,17,0.15315,0.15315715
297.47,293.74,301.0,80.0014285714,16,0.2519625,0.24763449999999998
297.064285714,292.48,299.4,75.6628571429,16,0.19296249999999998,0.24124284999999998
